2015,,,
UF = Rondônia,Admitidos,Desligados,Saldo
Serviços Industriais de Utilidade Pública,5,-5,437
Construção Civil,83,-109,-26
Comércio,128,-127,714
Serviços,236,-229,7
Administração Pública,335,-560,-225
"  Agropecuária, extração vegetal, caça e pesca",32,-32,37
Total,580,-606,-26
,,,
,,,
UF = Alagoas,Admitidos,Desligados,Saldo
Extrativa mineral,197,-293,-96
Indústria de transformação,40,-52,-11
Serviços Industriais de Utilidade Pública,578,-677,-99
Construção Civil,23,-23,-405
Comércio,31,-31,539
Serviços,38,-32,6
Administração Pública,117,-124,-7
"  Agropecuária, extração vegetal, caça e pesca",3,-4,-581
Total,136,-143,-6
,,,
,,,
UF = Sergipe,Admitidos,Desligados,Saldo
Extrativa mineral,263,-403,-140
Indústria de transformação,19,-19,-297
Serviços Industriais de Utilidade Pública,1,-1,-87
Construção Civil,22,-22,39
Comércio,28,-26,2
Serviços,47,-42,4
Administração Pública,278,-251,27
"  Agropecuária, extração vegetal, caça e pesca",9,-8,1
Total,127,-120,7
,,,
,,,
UF = Bahia,Admitidos,Desligados,Saldo
Extrativa mineral,3,-3,-410
Indústria de transformação,81,-84,-3
Serviços Industriais de Utilidade Pública,5,-5,-146
Construção Civil,134,-143,-10
Comércio,177,-171,6
Serviços,297,-285,12
Administração Pública,4,-4,7
"  Agropecuária, extração vegetal, caça e pesca",73,-76,-3
Total,772,-771,2
,,,
,,,
UF = Minas Gerais,Admitidos,Desligados,Saldo
Extrativa mineral,14,-15,-641
Indústria de transformação,382,-396,-14
Serviços Industriais de Utilidade Pública,6,-6,511
Construção Civil,350,-377,-27
Comércio,547,-531,16
Serviços,795,-773,21
Administração Pública,8,-8,679
"  Agropecuária, extração vegetal, caça e pesca",213,-217,-4
Total,"  2,315,218 ","- 2,322,734 ",-8
,,,
,,,
UF = Espírito Santo,Admitidos,Desligados,Saldo
Extrativa mineral,3,-3,68
Indústria de transformação,76,-74,2
Serviços Industriais de Utilidade Pública,2,-2,124
Construção Civil,56,-62,-5
Comércio,122,-118,4
Serviços,164,-157,7
Administração Pública,818,-865,-47
"  Agropecuária, extração vegetal, caça e pesca",34,-35,-678
Total,459,-451,8
,,,
,,,
UF = Rio de Janeiro,Admitidos,Desligados,Saldo
Extrativa mineral,3,-4,-593
Indústria de transformação,181,-185,-4
Serviços Industriais de Utilidade Pública,9,-9,186
Construção Civil,229,-233,-4
Comércio,481,-474,7
Serviços,899,-864,36
Administração Pública,4,-4,-1
"  Agropecuária, extração vegetal, caça e pesca",12,-11,115
Total,"  1,818,600 ","- 1,783,856 ",35
,,,
,,,
UF = São Paulo,Admitidos,Desligados,Saldo
Extrativa mineral,6,-6,-502
Indústria de transformação,995,"- 1,102,345 ",-108
Serviços Industriais de Utilidade Pública,28,-26,1
Construção Civil,580,-612,-32
Comércio,"  1,461,978 ","- 1,437,575 ",24
Serviços,"  2,827,304 ","- 2,718,282 ",109
Administração Pública,47,-43,4
